code_module,code_presentation,cohort_size,week_number,active_students,retention_pct,cohort_label
AAA,2013J,376,0,337,89.6,AAA · 2013J
AAA,2013J,376,1,341,90.7,AAA · 2013J
AAA,2013J,376,2,357,94.9,AAA · 2013J
AAA,2013J,376,3,305,81.1,AAA · 2013J
AAA,2013J,376,4,315,83.8,AAA · 2013J
AAA,2013J,376,5,312,83.0,AAA · 2013J
AAA,2013J,376,6,318,84.6,AAA · 2013J
AAA,2013J,376,7,339,90.2,AAA · 2013J
AAA,2013J,376,8,281,74.7,AAA · 2013J
AAA,2013J,376,9,272,72.3,AAA · 2013J
AAA,2013J,376,10,236,62.8,AAA · 2013J
AAA,2013J,376,11,181,48.1,AAA · 2013J
AAA,2013J,376,12,226,60.1,AAA · 2013J
AAA,2013J,376,13,276,73.4,AAA · 2013J
AAA,2013J,376,14,283,75.3,AAA · 2013J
AAA,2013J,376,15,293,77.9,AAA · 2013J
AAA,2013J,376,16,313,83.2,AAA · 2013J
AAA,2013J,376,17,285,75.8,AAA · 2013J
AAA,2013J,376,18,267,71.0,AAA · 2013J
AAA,2013J,376,19,232,61.7,AAA · 2013J
AAA,2013J,376,20,252,67.0,AAA · 2013J
AAA,2013J,376,21,264,70.2,AAA · 2013J
AAA,2013J,376,22,281,74.7,AAA · 2013J
AAA,2013J,376,23,293,77.9,AAA · 2013J
AAA,2013J,376,24,263,69.9,AAA · 2013J
AAA,2013J,376,25,253,67.3,AAA · 2013J
AAA,2013J,376,26,236,62.8,AAA · 2013J
AAA,2013J,376,27,221,58.8,AAA · 2013J
AAA,2013J,376,28,238,63.3,AAA · 2013J
AAA,2013J,376,29,270,71.8,AAA · 2013J
AAA,2013J,376,30,290,77.1,AAA · 2013J
AAA,2014J,352,0,301,85.5,AAA · 2014J
AAA,2014J,352,1,313,88.9,AAA · 2014J
AAA,2014J,352,2,330,93.8,AAA · 2014J
AAA,2014J,352,3,278,79.0,AAA · 2014J
AAA,2014J,352,4,279,79.3,AAA · 2014J
AAA,2014J,352,5,278,79.0,AAA · 2014J
AAA,2014J,352,6,283,80.4,AAA · 2014J
AAA,2014J,352,7,306,86.9,AAA · 2014J
AAA,2014J,352,8,234,66.5,AAA · 2014J
AAA,2014J,352,9,236,67.0,AAA · 2014J
AAA,2014J,352,10,205,58.2,AAA · 2014J
AAA,2014J,352,11,149,42.3,AAA · 2014J
AAA,2014J,352,12,188,53.4,AAA · 2014J
AAA,2014J,352,13,246,69.9,AAA · 2014J
AAA,2014J,352,14,237,67.3,AAA · 2014J
AAA,2014J,352,15,262,74.4,AAA · 2014J
AAA,2014J,352,16,290,82.4,AAA · 2014J
